질문,답변
연말정산 문의하려는데요.,네 무엇을 도와드릴까요?
5월에 퇴사 했는데 연말정산 해야돼요?,네 대상자이세요. 
제가 혼자서는 안해봤는데 혼자 해야되나요?,네 국세청 홈페이지에서 간편하게 안내해드리니까 어려움 없이 하실 수 있어요. 
제가 준비해야할 것은 없어요?,전년도 고용보험 납입 내역 준비하셔야 돼요.
그건 어디서 확인할 수 있어요?,전 직장에 요청하시면 돼요.
안좋게 나왔는데 다른방법은 없나요?,"있어요. 근로복지공단에서 조회, 확인 가능하세요. "
그리고 국세청에서 신청하면 되나요?,네 맞습니다. 
공인인증서 필요하나요?,없으시면 회원가입 하시면 돼요. 
그럼 공인인증서 없어도 되는건가요?,네 없으시면 휴대폰 인증 하시면 돼요.
,
연말정산 문의하려고요. ,네 어떻게 도와드릴까요?
연말정산 환급 언제됩나요?,매년 2월에 정산해드려요.
제가 올해 안경을 구입했는데 이것도 환급되나요?,네 의료비로 구분되어 소득공제 돼요.
이것도 간소화 서비스로 확인되나요?,이 부분은 직접 입력해주셔야 해요.
직접 해야되나요?,네. 누락항목에 대해서는 확인하시고 직접 입력해주셔야 해요.
신용카드 내역은 자동인가요?,네. 신용카드 내역은 자동으로 카드사에서 넘어오기때문에 입력 안하셔도 돼요.
이번에 문화비 소득공제도 추가되었다던데 맞아요?,"네 올해부터 박물관, 미술관 입장료 문화비도 소득공제에 추가됐어요."
얼마나 환급해 주나요?,연간 100만원 한도 내에서 결제 금액의 30%를 공제될 거에요.
최대 100만원까지에요?,네 맞습니다. 
월세 공제도 받을 수 있나요?,월세금액의 10% 세액공제 받을 수 있어요.
운전면허증을 분실했어요.,분실신고 하셨나요?
아직요. 어떻게 신고해요?,먼저 경찰서 방문하셔서 분실신고를 해주시면 돼요.
챙겨가야할 거 있나요?,신분증 지참하셔야 해요.
재발급은 어떻게 받나요?,운전면허 시험장 가셔서 재발급 서류 제출하시면 돼요.
수수료는 얼마에요?,"수수료는 7,500원이에요."
재발급 받는데 얼마나 걸리나요?,보통 15분내외로 돼요. 
분실신고도 운전면허 시험장에서 해도 되나요?,네 가능하세요. 
혹시 영문으로 운전면허증 발급도 되나요?,네 19년 부터 영문 면허증 발급도 가능하세요. 
그럼 국제운전면허증 따로 발급 안해도돼요?,일부 국가에서는 별도 국제운전면허증 없이도 사용 가능해요. 
어느 국가인지 어디서 확인하나요?,경찰청 사이트에서 확인가능하세요. 
보건증 무인발급기로 출력할 수 있어요?,보건증은 모든 보건소에서 지원하는게 아니라서 검사받은 보건소 확인이 필요해요. 
서울에는 어디서 가능한가요?,"서울은 강남구, 도봉구 관내 보건소에서 받으신 경우 관내 무인발급기를 통해서 발급 가능하고 또 인터넷으로도 발급가능해요."
인터넷으로는 어떻게 발급하나요?,먼저 건강진단은 받으셨나요?
작년에 받은게 있어요.,1년 이내에 받으신거 맞나요?
아뇨 작년 1월에 받았는데요.,보건증 유효기간은 발급일로부터 1년이내라 다시 받으셔야 해요.
그럼 보건소 꼭 방문 해야돼요?,네 맞습니다.
그 다음은 어떻게하나요?,검진후 신청서 작성하셔서 신분증과 같이 제출하시면 돼요.
청소년인데 학생증도 돼요?,학생증도 가능해요.
그리고 온라인으로 수령할수 있어요?,네 정부24이용하시면 출력가능해요.
얼마나 걸려요?,보통 5일정도 소요될거에요.
귀농인 지원사업 어떤게 있는지 알고싶은데요.,나이가 어떻게 되세요?
나이가 중요한가요?,청년농에 대한 지원사업이 따로 있어서 구분해 안내드리려구요.
27이에요. ,그럼 청년농 해당되시네요.
,
,
,
,
,
,
,
귀농정착인 지원 문의하려는데요.,네 어떤것을 도와드릴까요?
제가 귀촌한지 2년 되었는데 신청할 수 있나요?,이 지원정책은 귀농정착 후 3년 경과한 시점부터 신청하실 수 있어요.
3년 채우려면 8개월 정도 남았는데 지금 신청 안되나요?,신청이 내년 4월이니까 이번에는 신청 자격이 안됩니다.
그럼 다음 신청은 언제에요?,9월에는 신청 가능하세요. 
네 알겠습니다. ,
,
,
,
나이 제한은 따로 없나요?,만20세 이상 60세 이하로 제한되어 있어요. 
네 알겠습니다. 일단 더 알아보고 신청할게요.,네 감사합니다. 
안녕하세요. 제가 이번에 공무원 시험을 봤는데 시험 결과는 언제 나와요?,결과는 9월 20일로 예정되어있어요.
아직 멀었네요. ,
,
,
,
,
,
,
,
,
농촌일손돕기 봉사 신청하려는데요. ,네. 1365자원봉사포털에서 신청 가능하세요. 
봉사활동은 어디서하나요?,서울시내 농가에서 진행되요. 
과수농장으로 갈 수 있어요?,"과수뿐만 아니라 채소, 화훼 농가도 참여 가능하세요. "
어떤일을 하게 되나요?,이번에 홍수로 인해 농작물 훼손이 많아서 피해 농가에 방문해서 농사 보조업무를 하게 될거에요. 
농사 경험 없어도 가능한가요?,네 가능합니다. 
준비물은 따로 있어요?,편한 복장과 도시락과 간식등 챙겨오시면 돼요.
중식은 제공 안되는 거에요?,네 중식은 제공되지 않기때문에 개인 도시락 지참하셔야 해요.
봉사활동 하고 확인증은 주는거죠?,네 받으실 수 있어요.
근데 일단 하루만 신청하고 싶은데 하루만 해도되나요?,네 신청하실때 날짜를 지정하실 수 있어요.
네 알겠습니다. 감사합니다. ,감사합니다.
주말농장 신청하고싶은데요.,현재는 신청기간이 마감됐어요.
다음 신청은 언제에요?,매년 1월마다 선착순으로 접수 받고 있어요. 
아쉽네요.,
,
,
,
,
저희가 수확한 작물은 집에가져도 되죠?,네 물론입니다. 
매주 농장에 방문해야되나요?,의무는 아니지만 매주 방문하시는것을 추천해요.
알겠습니다. 수고하세요,네 감사합니다.
자동차 등록하려는데요.,자동차 명의 변경하시게요?
네. 이전 등록하려구요.,먼저 취득세 고지서를 발급하셔야 해요.
어디서 할 수 있어요?,구청 자동차 등록 민원실에서 접수하시면 돼요. 
그럼 끝인가요?,취등록세 납부하셔야 해요.
카드결제도 괜찮아요?,네 현금 및 카드 납부 가능하세요.
카드 결제하면 수수료는요?,국민은행 외 타행카드는 수수료가 있어요.
그 다음은 어떻게 해요?,그 다음 같은 장소에서 채권 구입을 하셔야해요.
채권은 얼마에요?,13만원이에요.
채권도 카드결제되요?,아뇨. 채권은 현금만 가능합니다. 
돈좀 챙겨가야겠네요. 그럼 명의변경하는데 얼마나 걸려요?,1시간 정도 소요될거에요.
안녕하세요. 저 자격증 취득한 거 신청하려는데요.,자격증 취득이 몇년도인가요?
2018년도에요.,2018년도에 취득한 자격증이 2개 있으신데 어느걸로 해드릴까요?
"둘다 받고싶은데, 하나로 합쳐서 받을 수 있어요?",네 가능합니다. 
그럼 하나로 합쳐서 신청해주세요. ,네. 상장형과 수첩형 두 가지중 선택해주세요.
수첩형으로 해주세요.,
,
,
,
,
,
안녕하세요. 저 장학생 문의하려구요.,네 말씀하세요.
제가 홈페이지에서  충남인재육성재단 장학생 모집 선발 공고문을 봤는데요.,네 현재 모집중이에요.
혹시 충남 한울타리 장학생이랑 희망드림 장학생이랑 중복 선발 가능한가요?,아니요. 중복선발은 배제하고있어요.
아 그렇군요.. 그럼 한울타리 장학생 관련 질문좀 할게요.,
,
,
,
마지막으로 질문 하나만 더 드릴게요. 장학금액은 얼마에요?,1인에 200만원이에요.
현금으로 주나요?,선발대상자 분 개인 계좌번호로 입금될 예정이에요. 
그렇군요. 안내해주셔서 감사합니다. ,감사합니다. 
등본뽑는 기계가 작동이 안되는데요.,어떤거 말씀이세요?
저 지금 00도서관 안에 있는 등본출력기계로 등본뽑으려고 하는데 안돼요. ,네 제가 도와드릴게요. 
,
,
,
,
,
,
,
,
안녕하세요. 저 다가구 혜택 문의 할려는데요.,네 무엇을 도와드릴까요?
원래 자녀 3인이상 받던 혜택을 올해부터 2인만 되도 받을 수 있다고 하더던데 맞나요?,네. 현재 협의 진행중이라 아마 내달부터는 적용되실 거에요.
네. 감사합니다. ,혹시 아이키움수당에 대해서 알고계신가요?
아뇨 그건 처음듣는데요.,이 정책도 다음달 부터 진행되는건데 기존에 12개월 아기 기준으로 매달 10만원씩 지원하던게 36개월 아기까지 확대됐어요.
저희 아기도 해당되는건가요?,현재 몇개월인가요?
이제 막 30개월이요.,네 그럼 해당되시니까 신청기간에 맞춰서 신청 꼭 해주세요.
신청기간은 언제에요?,신청기간은 이번달 말까지에요.
알려주셔서 감사합니다.,네 처음 문의주신 2인 자녀 지원사업도 확정되는대로 우편으로 안내 고지될거에요.
저 최근 이사를 해서 주소 변경 가능한가요?,네 주소 불러주시면 바로 수정해드릴게요. 
서울 OO동 OOO아파트 OOOO호에요.,네 수정됐어요.
안녕하세요. 유기동물 복지 관련 문의하려는데요.,네 담당자분으로 연결해 드릴게요.
네 감사합니다 .,전화받았습니다. 무엇을 도와드릴까요?
저희 집 근처에 고양이가 새끼를 낳은거같은데 좀 위험해 보이는데요.,
,
,
,더 도와드릴건 없나요?
네 하나더 여쭤볼게요. 그 어미고양이 중성화 관련 지원사업 있나요?,네. 저희가 100% 중성화 비용을 다 지원은 안되고 보호자나 구조하시는 분께서 부담을 해주시는 조건에 지원을 해주고 있어요.
알겠습니다. ,
,
,
가산도서관 지금 이용 못하나요?,책 대여는 가능하신데 자유열람실은 이용하실 수 없어요.
언제까지요?,코로나로 인한거라 지켜봐야될거 같아요.
그럼 이번에 사물함 결제한건 어떻게 되나요?,이용하시지 못한 일수에 대한 환불이 진행될 예정이에요.
알겠습니다.,
,
,
,
,
,
,
대학생 아르바이트 모집 공고 보고 연락렸어요.,네 무엇을 도와드릴까요?
공고문을 봤는데 3개월간 사무보조 업무라고 되어있는데 어떤 기관에서 일하는거에요?,공공기관으로 배정될 예정이에요. 
지금은 확실히 모르는건가요?,"네 지금은 확실히 말씀드리기 어렵고, 지원서 보고 배치 될 예정이에요. "
저는 체육문화 부서에서 업무를 보고싶은데 지원할수 있나요?,자기소개서에 그 분야 강점을 서술해주시면 고려할 거에요. 
자소서가 관건이군요. ,네 혹시 관련 자격증이 있으세요?
네 문화관광지도사 2급 자격증이 있어요. ,그럼 자격란에 입력해주세요.
근데 아직 가채점만 한 상태인데 자격증 취득이라고 해도되나요?,아직 미취득 상태시면 취득 예정이라고 비고란에 써주세요. 
아 감사합니다. ,다른 질문 있으세요?
네 친구랑 같이 지원해도 돼요?,같이 지원은 가능하시지만 많은 분들이 지원해주신거라 같이 근무를 하실수는 없을수도 있어요. 
그렇군요. 알겠습니다. ,네 감사합니다. 
농기계 대여 하려는데요. ,넵 농기계 파트로 연결해드릴게요.
감사합니다. ,전화 받았습니다. 어떤 기계 대여해드릴까요?
트랙터있나요?,트랙터는 현재 대여중이라 다음달 초에 대여 가능하세요. 
아니 지금이 수확철인데 다음달까지 기다리라고요?,죄송합니다. 재원이 한정적이라서 어쩔수가 없어요.
시에서 몇 대를 보유하고 있습니까?,10대 보유중인데 지금 다 대여되었습니다. 
홍보를 그렇게 많이 했으면서 10대 밖에 지원을 안해주면 10명만 지원받으란 얘기에요?,죄송합니다. 개선하도록 하겠습니다. 
,
,
,
,
사이버강좌가 안열려요.,확인해드릴게요. 어떤 강좌 들으세요?
컴퓨터활용능력이에요. ,어제 업로드 된 12차 강의 말씀하시는 건가요?
네 맞습니다. ,음.. 재생이 잘 되는데 컴퓨터 설정이 잘못된거 아닌가요?
어제는 이상이 없었는데 오늘 갑자기 안돼서요.,괜찮으시면 제가 원격으로 도와드릴까요?
네 감사합니다. ,그럼 www.0OOO.com에 접속하셔서 원격 수락해주세요.
네 수락했습니다. ,네 연결되었습니다. 제가 확인을 좀 해볼게요.
네,아 여기 인터넷 설정에서 팝업 차단을 해놔서 그런거 같아요. 
어라? 저 그렇게 한적 없는데요.,아마 페이지가 업데이트 되면서 설정이 바뀐거 같네요.
